temp_coor
"(38.8951368, -77.0721925)"
"(48.6904063, 2.373809)"
"(39.3642852, -74.4229351)"
"(48.4283182, -123.3649533)"
""
""
"(50.80843175, 4.946429213429422)"
""
""
"(51.6284395, 0.4218142)"
"(51.6958889, -0.1848935)"
"(50.0012314, 8.2762513)"
""
""
""
""
""
""
"(-34.9595334, 116.8280129)"
""
""
""
""
"(40.6639916, -74.2107006)"
"(41.4996574, -81.6936772)"
"(40.907199, -77.938042)"
"(41.8755616, -87.6244212)"
"(45.4384958, 10.9924122)"
"(54.9738474, -1.6131572)"
""
""
"(40.78168135, -74.75923279813415)"
""
"(41.504546500000004, -85.82410851437608)"
"(40.735657, -74.1723667)"
"(40.735657, -74.1723667)"
"(40.9354609, -74.6611513311839)"
"(41.2951037, -92.6448451)"
"(41.4996574, -81.6936772)"
"(10.4195841, -75.5271224)"
"(52.1363806, -0.4675041)"
"(38.990412449999994, -76.9438585924238)"
"(40.7992398, -74.47743585359405)"
"(41.4108855, -83.46104)"
""
""
"(39.4697065, -0.3763353)"
"(41.8500284, -88.3125738)"
"(41.0812698, -105.5091717)"
"(51.5073219, -0.1276474)"
"(41.3828939, 2.1774322)"
""
"(43.8122836, -91.2514355)"
""
"(41.1958128, -115.3272864)"
"(-37.9064862, 144.7533059)"
"(40.734982, -73.5944933)"
"(41.4996574, -81.6936772)"
"(41.5860557, -109.2194544)"
"(43.6044622, 1.4442469)"
"(53.6542257, -0.1971576)"
"(48.8588897, 2.3200410217200766)"
""
"(48.8588897, 2.3200410217200766)"
""
"(40.0, -40.0)"
"(49.6647765, 1.9428278)"
"(39.2040971, 115.0379398)"
"(51.0791366, 1.1841744)"
"(53.6323399, 10.0233695)"
""
"(36.5297438, -6.2928976)"
"(39.7683331, -86.1583502)"
"(45.4371908, 12.3345898)"
"(35.1952327, -6.152913)"
"(34.0346534, -5.0161926)"
"(41.9263991, 8.7376029)"
"(41.3828939, 2.1774322)"
"(41.139981, -104.820246)"
"(41.641445, -80.151449)"
""
""
"(44.4361414, 26.1027202)"
"(41.4647742, -83.9524442)"
""
"(64.6863136, 97.7453061)"
"(41.4000523, -82.8085204)"
""
"(41.1710716, -104.2552567)"
"(40.9658932, -78.6130822)"
""
"(10.9810761, -74.7988827)"
"(39.7837304, -100.445882)"
"(43.5445, 3.12514)"
"(41.5824086, -85.834366)"
"(51.3385156, -0.115893)"
""
"(38.3436365, -0.4881708)"
"(50.1250142, 3.6913023)"
"(38.3436365, -0.4881708)"
"(42.2632018, 3.1755328)"
"(47.4979937, 19.0403594)"
"(39.7478508, -81.5165127)"
"(48.6762624, 5.8941759)"
"(40.6799498, -80.8880137)"
"(20.9127045, -17.0503094)"
"(50.5147177, 1.6374135)"
"(41.5844951, -84.6055076)"
"(52.5322705, 13.1433666)"
"(49.82921075, -2.49845361947528)"
""
"(50.9510266, 4.3085198)"
"(53.6784483, 6.9956079)"
"(51.245295350000006, 0.9435728377218445)"
"(40.7127281, -74.0060152)"
""
"(51.5497446, 8.573474968213432)"
"(49.82921075, -2.49845361947528)"
"(26.1233266, -14.5005584)"
"(42.3264181, -122.8718605)"
"(50.6440257, 2.7226506)"
"(34.022405, -6.834543)"
"(-24.9071275, 146.33124025447535)"
"(44.5204431, -116.3345874)"
"(50.770890449999996, 10.496178825357095)"
"(41.5824086, -85.834366)"
"(36.7753606, 3.0601882)"
"(50.79946485, 8.941291794880504)"
"(51.27452185, 0.1961165562194977)"
"(41.874428, -72.2598935)"
"(40.5651057, -74.4814613)"
"(35.2698375, -75.52139777222223)"
"(50.5590505, 11.8040013)"
""
"(40.4862174, -74.4518173)"
"(48.584614, 7.7507127)"
""
"(41.4372721, -85.1471934)"
"(36.8414197, -2.4628135)"
""
""
"(-34.7923733, -55.3837161)"
"(43.2297425, 1.7138034)"
""
"(36.8414197, -2.4628135)"
"(41.0070132, -98.0114268)"
""
"(38.889820150000006, -77.04024448558823)"
"(39.6903253, -4.4273603)"
""
"(44.9189015, -93.3906083)"
"(51.2029228, 7.3571392)"
"(50.1106444, 8.6820917)"
"(38.4166818, -95.8530441)"
""
"(51.3385156, -0.115893)"
"(51.8921899, 4.4406806)"
""
"(48.6762624, 5.8941759)"
"(-34.901351649999995, 138.8293202817461)"
"(42.8620287, -112.450627)"
""
"(41.9793006, 2.8199439)"
"(41.3670014, -79.9292233)"
"(44.9332277, 4.8920811)"
""
"(41.4486619, -84.7480123)"
"(41.4486619, -84.7480123)"
